id,tag,name,birthday,mcnum,tlpd_id,tlpd_db,lp_name,sc2e_id,country,race,dom_val,dom_start_id,dom_end_id,current_rating_id,romanized_name
11980,Aquadre,,,,,,,,AU,P,-1.39196624839342,26,27,8217838,
21726,Arch3r,,,,,,,,SE,Z,-2.04574599453392,32,33,8224566,
15214,Arsymer,,,,,,,,TH,T,-2.16537296969685,76,77,8213677,
20191,아름다운뷰지,,,,,,,,KR,R,-1.6980676104154,28,29,8212993,
15196,워송배틀드럼,,,,,,,,KR,P,-1.43817400586275,28,29,8219579,
16232,Alexike,,,,,,,,RU,P,-1.69105488735391,28,29,8215651,
15612,ALEXIOS,,,,,,,,CN,R,-1.62256775085326,26,27,8214232,
12381,Alster,"",,,,,"",,,Z,-1.37788148534507,26,27,8209219,""
10742,Altair,"",,,,,"",,US,P,-1.33162665749352,27,28,8218493,""
19900,Alzales,,,,,,,,PE,P,-2.33215117517543,76,77,8227307,
12299,Amazonic,"",,,,,"",,US,Z,-0.909379975478183,27,28,8214921,""
12870,AMH,Alfredo Matamoros,,,,0,,,CR,Z,-2.01214592839421,115,116,8220767,
20407,아미,,,,,,,,KR,R,-1.79173350113926,27,28,8218471,
20348,두둥탃,,,,,,,,KR,R,-1.726576897286,28,29,8210939,
16981,준호형제자,,,,,,,,KR,P,-1.49714826348064,26,27,8210875,
4380,aBstract,Scott Gulick,,,,,"",,US,P,-0.927406024554913,49,50,8210590,
16705,Acceleratr,,,,,,,,RU,P,-1.73655390568011,28,29,8209886,
5638,Acey,Jason Lomas,,,,0,,,UK,P,-1.04162109419697,37,38,8223610,
4719,achbeo,Kai Pastor Brandt,,,,,"",,DE,P,-0.9133851183857,28,29,8211650,
10764,ACID,Martin Schill,,,,0,,,DE,T,-2.17033461126479,187,188,8215378,
12629,acslayer,,,,,,,,UK,T,-1.38356934738917,28,29,8210846,
11947,AffkanQQ,,,,,,,,SE,Z,-1.4879658655931,46,47,8219998,
5540,1a2a3a,,,,,0,,,KR,Z,-0.739090889641327,26,27,8224292,
23455,ABoredPersonDied,,,,,,,,,R,-2.0827860586771,27,28,8207774,
10484,AcmeHero,Victor Melgar,,,,0,"",,SV,P,-2.07371841982441,161,162,8220427,""
20092,acoolguy,,,,,,,,CA,T,-2.04524902175448,33,34,8227182,
13470,Addon,,,,,,,,FR,Z,-1.45556582175421,29,30,8213443,
16189,ADR,,,,,,,,PL,P,-2.12687411142254,113,114,8220257,
3101,AdrenalinE,Jeremy Poole,,,2733,2,,,US,P,-0.546674805997123,29,30,8209522,
8947,AegiS,Charles Versaw,,,,0,"",,US,T,-1.88044124562842,140,141,8218289,""
5756,Aelendis,Thomas Brogniet,,,,0,,,BE,Z,-1.06884082551143,38,39,8223248,
9680,aeontech,,,,,,"",,US,Z,-1.01094355951939,28,29,8215809,
13254,AerO,"",,,,,"",,DE,Z,-1.42496066714324,31,32,8226626,""
17958,Aiacos,,,,,,,,PE,Z,-1.75114486685832,27,28,8209370,
8034,AiyarA,,,,,,,,TH,Z,-1.10232287850276,25,26,8224039,
22674,AkroniQ,,,,,,,,PL,T,-2.01717317976935,28,29,8212078,
8823,Akroz,,,,,,,,BR,Z,-1.70633216353175,111,112,8226898,
9202,Aktis,,,,,,,,CA,Z,-0.919667350823517,27,28,8226610,
1805,aku,,,,,,,,DE,T,-0.807309088163562,27,28,8227787,
10671,Akup,"",,,,,"",,FR,P,-1.27292807615061,28,29,8227435,""
17900,alain,,,,,,,,,R,-1.77528558946918,27,28,8210776,
16006,Alan,Albert Andrzejewski,,,,0,,,PL,P,-1.75277402193896,32,33,8227704,
